编码,名称,类别,品牌,主单位,副单位,容量,牌价,库存上限,下限,代码,简码,产地,功效,用法,成分,备注
6942804300907,CF208香草唇眸软膜,制成品,香蔓,瓶,,250,450,100,3,CAFR20002,,,,,,
6942804300891,CD208晶莹舒敏软膜,制成品,香蔓,瓶,,500,590,100,3,CADR20004,,,,,,
6942804300884,CN202*身体温炙棒,制成品,香蔓,支,支,8,220,100,3,CANR20002,,,,,,
6942804300860,CN201*面部温炙棒,制成品,香蔓,支,支,12,340,100,3,CANR20001,,,,,,
6942804300846,CB203亮泽皙白霜,制成品,香蔓,支,,250,660,100,3,CABR20005,,,,,,
6942804300839,CC209丝柔水凝保湿乳,制成品,香蔓,瓶,毫升,500,660,100,3,CACR20005,,,,,,
6942804300822,CC208丝柔水凝软膜,制成品,香蔓,瓶,,500,590,100,3,CACR20004,,,,,,
6942804300815,CD207晶莹舒敏面膜,制成品,香蔓,瓶,,250,490,100,3,CADR20003,,,,,,
6942804300808,CC207丝柔水凝面膜,制成品,香蔓,瓶,,250,420,100,3,CACR20003,,,,,,
6942804300778,CG201葡萄籽基底油,制成品,香蔓,瓶,毫升,500,660,100,3,CAGR20001,,,,,,
6942804300747,CD202甘菊舒敏平衡水,制成品,香蔓,瓶,毫升,500,420,100,3,CADR20002,,,,,,
6942804300730,CC202玫瑰保湿平衡水,制成品,香蔓,瓶,毫升,500,420,100,3,CACR20002,,,,,,
6942804300723,CI202角质者喱,制成品,香蔓,瓶,,250,400,100,3,CAIR20002,,,,,,
6942804300716,CL201死海调理细盐,制成品,香蔓,瓶,,250,360,100,3,CALR20001,,,,,,
6942804300709,CC201玫瑰保湿洗颜乳,制成品,香蔓,瓶,毫升,500,470,100,3,CACR20001,,,,,,
6942804300693,CF102清爽卸妆液(09升级版),制成品,香蔓,瓶,毫升,150,230,100,3,CAFH10021,,,,,,
6942804300686,CM115水凝保湿精华迷你组,制成品,香蔓,套,,0,1500,100,3,CASM10006,,,,,,
6942804300662,CM113胶原蛋白洗颜乳迷你组,制成品,香蔓,盒,,0,400,100,3,CASM10007,,,,,,
6942804300648,CM111迷你丝柔水凝护理套(2007版),制成品,香蔓,套,件,6,680,100,3,CASM10005,,,,,,
6942804300631,CN204*滑罐器,制成品,香蔓,套,套,0,135,100,3,CANR20004,,,,,,
6942804300617,CS202香蔓水凝丝柔个人护理套(升级版),制成品,香蔓,套,件,6,1200,100,3,CASC20004,,,,,,
6942804300594,CS108明眸滋养祛皱疗程,制成品,香蔓,套,,0,1380,100,3,CASS10003,,,,,,
6942804300587,CS107明眸祛黑护理套,制成品,香蔓,套,,0,1380,100,3,CASS10002,,,,,,
6942804300563,CS103香蔓内分泌特殊套,制成品,香蔓,套,件,5,2300,100,3,CASC10004,,,,,,（15毫升*4新）5件套
6942804300556,CS102面部排毒醒肤套,制成品,香蔓,套,件,4,1280,100,3,CASC10002,,,,,,
6942804300549,CS101病理背穴基础套,制成品,香蔓,套,件,4,1280,100,3,CASC10001,,,,,,
6942804300532,CG110美胸紧实精油,制成品,香蔓,瓶,毫升,30,570,100,3,CAGH10010,,,,,,
6942804300525,CG109美胸丰满精油,制成品,香蔓,瓶,毫升,30,570,100,3,CAGH10009,,,,,,
6942804300501,CG104肌肉酸痛精油,制成品,香蔓,瓶,毫升,30,550,100,3,CAGH10004,,,,,,
6942804300495,CG103身体排毒精油,制成品,香蔓,瓶,毫升,30,550,100,3,CAGH10003,,,,,,
6942804300488,CG102面部排毒精油,制成品,香蔓,瓶,毫升,30,550,100,3,CAGH10002,,,,,,
6942804300471,CH201眼部胶原套装,制成品,香蔓,盒,,0,470,100,3,CAHR20001,,,,,,5张+75毫升
6942804300464,CF110眼部紧致精油（09升级版）,制成品,香蔓,瓶,,0,340,100,3,CAFH10020,,,,,,
6942804300457,CF109眼部苏活精油（09升级版）,制成品,香蔓,瓶,,0,340,100,3,CAFH10019,,,,,,
6942804301607,CF101柔和卸妆乳80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,210,100,3,CAFH10015,,,,,,
6942804300440,CF107眼部舒缓液150毫升（09升级版）,制成品,香蔓,瓶,毫升,150,340,100,3,CAFH10014,,,,,,
6942804300433,CF106循环眼部紧致精华（09升级版）,制成品,香蔓,瓶,,0,310,100,3,CAFH10018,,,,,,
6942804300426,CF105香草眼部滋养精华（09升级版）,制成品,香蔓,瓶,,0,310,100,3,CAFH10017,,,,,,
6942804300419,CE118水润滋养能量膜(粉红色),制成品,香蔓,盒,片,10,350,100,3,CASB10007,,,,,,
6942804300402,CE112银杏滋养水150毫升（09升级版）,制成品,香蔓,瓶,毫升,150,260,100,3,CAEH10017,,,,,,
6942804300396,CE111胶原蛋白洗颜乳80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,180,100,3,CAEH10016,,,,,,
6942804300389,CE110焕妍紧致胶原液150毫升（09升级版）,制成品,香蔓,瓶,毫升,150,310,100,3,CAEH10015,,,,,,
6942804300372,CE109焕妍紧致生化保湿乳80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,280,100,3,CAEH10014,,,,,,
6942804300365,CD111甘菊镇静啫喱80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,230,100,3,CADH10016,,,,,,
6942804300358,CD106甘菊舒敏安瓶(新),制成品,香蔓,盒,组,6,790,100,3,CADH10009,,,,,,(0.3克+6毫升)*6组
6942804300341,CD105舒敏镇静精华30毫升（09升级版）,制成品,香蔓,瓶,毫升,30,460,100,3,CADH10015,,,,,,
6942804300334,CD101氨基酸洗颜乳80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,160,100,3,CADH10011,,,,,,
6942804300327,CC111玫瑰保湿啫喱80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,230,100,3,CACH10023,,,,,,
6942804300310,CC106丝柔保湿安瓶(新),制成品,香蔓,盒,组,6,790,100,3,CACH10014,,,,,,(0.3克+6毫升)*6组
6942804300303,CC105水凝保湿精华30毫升（09升级版）,制成品,香蔓,瓶,毫升,30,460,100,3,CACH10020,,,,,,
6942804300280,CC103玫瑰水凝日霜50克（09升级版）,制成品,香蔓,瓶,,50,360,100,3,CACH10019,,,,,,
6942804300259,CB106亮泽皙白安瓶(新),制成品,香蔓,盒,组,6,790,100,3,CABH10016,,,,,,(0.3克+6毫升)*6组
6942804300242,CB105亮泽皙白精华30毫升（09升级版）,制成品,香蔓,瓶,毫升,30,460,100,3,CABH10023,,,,,,
6942804300235,CB104亮泽皙白晚霜50克（09升级版）,制成品,香蔓,瓶,,50,395,100,3,CABH10022,,,,,,
6942804300228,CB103亮泽皙白日霜50克（09升级版）,制成品,香蔓,瓶,,50,360,100,3,CABH10021,,,,,,
6942804300211,CB102蔓越橘平衡水150毫升（09升级版）,制成品,香蔓,瓶,毫升,150,220,100,3,CABH10020,,,,,,
6942804300204,CB101蔓越橘洗颜乳80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,160,100,3,CABH10019,,,,,,
6942804300198,CA112黑头导出液（09升级版）,制成品,香蔓,瓶,毫升,20,210,100,3,CAAH10017,,,,,,
6942804300181,CA110净颜紧致液30毫升（09升级版）,制成品,香蔓,瓶,毫升,30,250,100,3,CAAH10016,,,,,,
6942804300174,CA106茶树调理安瓶(新),制成品,香蔓,盒,组,6,790,100,3,CAAH10011,,,,,,(0.3克+6毫升)*6组
6942804300167,CA105净颜排毒精华30毫升（09升级版）,制成品,香蔓,瓶,毫升,30,460,100,3,CAAH10014,,,,,,
6942804300150,CA102茶树净颜平衡水150毫升（09升级版）,制成品,香蔓,瓶,毫升,150,220,100,3,CAAH10013,,,,,,
6942804300143,CA101茶树平衡洗颜乳80毫升(09升级版）,制成品,香蔓,瓶,毫升,80,160,100,3,CAAH10012,,,,,,
6942804300136,CF104晶莹紧致眼胶15克（09升级版）,制成品,香蔓,瓶,,15,280,100,3,CAFH10013,,,,,,
6942804300129,CF103香草柔润眼霜15克（09升级版）,制成品,香蔓,瓶,,15,280,100,3,CAFH10016,,,,,,
6942804300105,CD104甘菊修复晚霜50克（09升级版）,制成品,香蔓,瓶,,50,495,100,3,CADH10014,,,,,,
6942804300099,CD103甘菊舒敏日霜50克（09升级版）,制成品,香蔓,瓶,,50,395,100,3,CADH10013,,,,,,
6942804300082,CD102甘菊舒敏平衡水150毫升（09升级版）,制成品,香蔓,瓶,毫升,150,220,100,3,CADH10012,,,,,,
6942804300075,CC112玫瑰水凝保湿霜50克（09升级版）,制成品,香蔓,瓶,,50,395,100,3,CACH10024,,,,,,
6942804300068,CC110纯氧离子水150毫升（09升级版）,制成品,香蔓,瓶,毫升,150,260,100,3,CACH10022,,,,,,
6942804300051,CC109丝柔水凝保湿乳80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,230,100,3,CACH10021,,,,,,
6942804300044,CC102玫瑰保湿平衡水150毫升（09升级版）,制成品,香蔓,瓶,毫升,150,220,100,3,CACH10018,,,,,,
6942804300037,CC101玫瑰保湿洗颜乳80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,160,100,3,CACH10017,,,,,,
6942804300020,CB115长效舒缓嫩白冰膜,制成品,香蔓,盒,片,10,350,100,3,CASB10001,,,,,,
6942804301904,CS212腿部循环秀美套,制成品,香蔓,套,,0,2300,100,3,CASS20010,,,,,,
6942804301898,CS211疏肝养目护理套,制成品,香蔓,套,,0,2300,100,3,CASS20011,,,,,,
6942804301836,CS210微蛋白活能护理套,制成品,香蔓,套,,0,1880,100,3,CASB10018,,,,,,
6942804301812,CS208深海之谜护理套,制成品,香蔓,套,,0,3300,100,3,CAHR20017,,,,,,
6942804301805,CS206乳腺疏通保养套,制成品,香蔓,套,,0,2300,100,3,CAHR20014,,,,,,
6942804301799,CS112眼部速感活力护理套,制成品,香蔓,套,,0,1880,100,3,CAHR20016,,,,,,
6942804301782,CS111眼部金纯抚痕护理套,制成品,香蔓,套,,0,1880,100,3,CAHR20015,,,,,,
6942804301706,清爽四季防晒套(三件套),制成品,香蔓,套,,0,720,100,3,CASS20004,,,,,,
  ,,,,,,,,,,,,,,,,
