编码,名称,类别,品牌,主单位,副单位,容量,牌价,库存上限,下限,代码,简码,产地,功效,用法,成分,备注
6951032401119,CG103身体净化精油,制成品,香蔓5.5,瓶,,30,550,100,3,CAGH10003,,,,,,30ML
6951032401102,CG102面部净化精油,制成品,香蔓5.5,瓶,,30,590,100,3,CAGH10002,,,,,,30ML
6951032400655,CH201眼部胶原套装,制成品,香蔓5.5,盒,,0,470,100,3,CAHR20001,,,,,,5张+75ml
6951032400648,CF110眼部紧致精油（09升级版）,制成品,香蔓5.5,支,,0,340,100,3,CAFH10020,,,,,,10ml
6951032400631,CF109眼部苏活精油（09升级版）,制成品,香蔓5.5,支,,0,340,100,3,CAFH10019,,,,,,10ml
6951032400570,CF101柔和卸妆乳80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,210,100,3,CAFH10015,,,,,,80ml
6951032400624,CF107眼部舒缓液150ml（09升级版）,制成品,香蔓5.5,瓶,毫升,150,340,100,3,CAFH10014,,,,,,150ml
6951032400617,CF106循环眼部紧致精华（09升级版）,制成品,香蔓5.5,瓶,,0,310,100,3,CAFH10018,,,,,,10ml
6951032400600,CF105香草眼部滋养精华（09升级版）,制成品,香蔓5.5,瓶,,0,310,100,3,CAFH10017,,,,,,10ml
6951032401010,CE118丝滑焕采光膜,制成品,香蔓5.5,盒,片,10,350,100,3,CASB10007,,,,,,10片/盒
6951032400563,CE112银杏滋养水150ml（09升级版）,制成品,香蔓5.5,瓶,毫升,150,260,100,3,CAEH10017,,,,,,150ml
6951032400556,CE111胶原蛋白洗颜乳80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,180,100,3,CAEH10016,,,,,,80ml
6951032400549,CE110焕妍紧致胶原液150ml（09升级版）,制成品,香蔓5.5,瓶,毫升,150,310,100,3,CAEH10015,,,,,,150ml
6951032400532,CE109焕妍紧致生化保湿乳80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,280,100,3,CAEH10014,,,,,,80ml
6951032401089,CD111甘菊静肤啫喱80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,230,100,3,CADH10016,,,,,,80ml
6951032401072,CD106甘菊舒缓安瓶(新),制成品,香蔓5.5,盒,组,6,790,100,3,CADH10009,,,,,,(0.3g+6ml)*6组
6951032401065,CD105舒敏静肤精华30ml（09升级版）,制成品,香蔓5.5,瓶,毫升,30,460,100,3,CADH10015,,,,,,30ml
6951032400518,CD101氨基酸洗颜乳80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,160,100,3,CADH10011,,,,,,80ml
6951032400495,CC111玫瑰保湿啫喱80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,230,100,3,CACH10023,,,,,,80ml
6951032400464,CC106丝柔保湿安瓶(新),制成品,香蔓5.5,盒,组,6,790,100,3,CACH10014,,,,,,(0.3g+6ml)*6组
6951032400457,CC105水凝保湿精华30ml（09升级版）,制成品,香蔓5.5,瓶,毫升,30,460,100,3,CACH10020,,,,,,30ml
6951032400440,CC103玫瑰水凝日霜50g（09升级版）,制成品,香蔓5.5,瓶,,50,360,100,3,CACH10019,,,,,,50g
6951032400402,CB106亮泽皙白安瓶(新),制成品,香蔓5.5,盒,组,6,790,100,3,CABH10016,,,,,,(0.3g+6ml)*6组
6951032400396,CB105亮泽皙白精华30ml（09升级版）,制成品,香蔓5.5,瓶,毫升,30,460,100,3,CABH10023,,,,,,30ml
6951032400389,CB104亮泽皙白晚霜50g（09升级版）,制成品,香蔓5.5,瓶,,50,395,100,3,CABH10022,,,,,,50g
6951032400372,CB103亮泽皙白日霜50g（09升级版）,制成品,香蔓5.5,瓶,,50,360,100,3,CABH10021,,,,,,50g
6951032400365,CB102蔓越橘平衡水150ml（09升级版）,制成品,香蔓5.5,瓶,毫升,150,220,100,3,CABH10020,,,,,,150ml
6951032400358,CB101蔓越橘洗颜乳80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,160,100,3,CABH10019,,,,,,80ml
6951032400341,CA112黑头导出原液（09升级版）,制成品,香蔓5.5,瓶,毫升,20,210,100,3,CAAH10017,,,,,,20ml
6951032400334,CA110净颜紧致液30ml（09升级版）,制成品,香蔓5.5,瓶,毫升,30,260,100,3,CAAH10016,,,,,,30ml
6951032401034,CA106茶树调理安瓶(新),制成品,香蔓5.5,盒,组,6,790,100,3,CAAH10011,,,,,,(0.3g+6ml)*6组
6951032401027,CA105净颜调理精华30ml（09升级版）,制成品,香蔓5.5,瓶,毫升,30,460,100,3,CAAH10014,,,,,,30ml
6951032400310,CA102茶树净颜平衡水150ml（09升级版）,制成品,香蔓5.5,瓶,毫升,150,220,100,3,CAAH10013,,,,,,150ml
6951032400303,CA101茶树平衡洗颜乳80ml(09升级版）,制成品,香蔓5.5,瓶,毫升,80,160,100,3,CAAH10012,,,,,,80ml
6951032400594,CF104晶莹紧致眼胶15g（09升级版）,制成品,香蔓5.5,瓶,,15,280,100,3,CAFH10013,,,,,,15g
6951032400587,CF103香草柔润眼霜15g（09升级版）,制成品,香蔓5.5,瓶,,15,280,100,3,CAFH10016,,,,,,15g
6951032400525,CD104甘菊修复晚霜50g（09升级版）,制成品,香蔓5.5,瓶,,50,495,100,3,CADH10014,,,,,,50g
6951032401058,CD103甘菊舒缓日霜50g（09升级版）,制成品,香蔓5.5,瓶,,50,395,100,3,CADH10013,,,,,,50g
6951032401041,CD102甘菊舒缓平衡水150ml（09升级版）,制成品,香蔓5.5,瓶,毫升,150,220,100,3,CADH10012,,,,,,150ml
6951032400501,CC112玫瑰水凝保湿霜50g（09升级版）,制成品,香蔓5.5,瓶,,50,395,100,3,CACH10024,,,,,,50g
6951032400488,CC110纯氧离子水150ml（09升级版）,制成品,香蔓5.5,瓶,毫升,150,260,100,3,CACH10022,,,,,,150ml
6951032400471,CC109丝柔水凝保湿乳80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,230,100,3,CACH10021,,,,,,80ml
6951032400433,CC102玫瑰保湿平衡水150ml（09升级版）,制成品,香蔓5.5,瓶,毫升,150,220,100,3,CACH10018,,,,,,150ml
6951032400426,CC101玫瑰保湿洗颜乳80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,160,100,3,CACH10017,,,,,,80ml
6951032400983,CB115持久舒缓嫩白冰膜,制成品,香蔓5.5,盒,片,10,350,100,3,CASB10001,,,,,,10片/盒
6951032401195,CS211腿部轻盈护理套,制成品,香蔓5.5,套,,0,2300,100,3,CASS20010,,,,,,
6951032401201,CS212舒肝养目护理套,制成品,香蔓5.5,套,,0,2300,100,3,CASS20011,,,,,,
6942804301836,CS210微蛋白活能护理套,制成品,香蔓5.5,套,,0,1880,100,3,CASB10018
6942804301812,CS208深海之谜护理套,制成品,香蔓5.5,套,,0,3300,100,3,CAHR20017
6951032401188,CS206胸部保养调理套,制成品,香蔓5.5,套,,0,2300,100,3,CAHR20014
6951032400815,CS112眼部速感活力护理套,制成品,香蔓5.5,套,,0,1880,100,3,CAHR20016
6951032400808,CS111眼部金纯抚痕护理套,制成品,香蔓5.5,套,,0,1880,100,3,CAHR20015
6942804301706,清爽四季防晒套(三件套),制成品,香蔓5.5,套,,0,720,100,3,CASS20004
  ,,,,,,,,,,
